year;sex;age;pop;immig;emig;born;dead
2001;1;85;12848;5;6;0;1622
2001;1;86;10748;1;2;0;1628
2001;1;87;9459;1;2;0;1536
2001;1;88;7777;2;6;0;1461
2001;1;89;6174;3;1;0;1333
2001;1;90;4969;4;1;0;1194
2001;1;91;3741;1;1;0;1104
2001;1;92;2840;1;3;0;846
2001;1;93;1943;1;1;0;711
2001;1;94;1395;0;0;0;512
2001;1;95;935;0;0;0;390
2001;1;96;569;0;0;0;278
2001;1;97;333;0;0;0;206
2001;1;98;230;0;1;0;136
2001;1;99;145;0;0;0;88
2001;1;100;160;0;1;0;130
2001;2;0;44439;356;121;0;124
2001;2;1;44441;726;278;0;29
2001;2;2;43868;520;238;0;12
2001;2;3;44027;460;233;0;5
2001;2;4;44757;429;217;0;3
2001;2;5;47291;443;210;0;6
2001;2;6;50810;429;236;0;6
2001;2;7;55534;461;212;0;3
2001;2;8;57963;415;217;0;8
2001;2;9;60525;367;187;0;6
2001;2;10;61652;394;178;0;8
2001;2;11;62561;429;172;0;4
2001;2;12;59100;346;132;0;5
2001;2;13;57415;380;113;0;5
2001;2;14;54639;353;115;0;7
2001;2;15;53160;316;104;9;11
2001;2;16;51573;357;107;26;6
2001;2;17;49493;320;85;67;8
2001;2;18;48549;394;91;160;13
2001;2;19;49133;625;341;294;14
2001;2;20;49862;861;407;509;12
2001;2;21;51471;872;430;797;16
2001;2;22;51017;954;435;1020;9
2001;2;23;49743;1051;444;1189;10
2001;2;24;51164;1041;424;1556;12
2001;2;25;52691;1037;536;1863;9
2001;2;26;55676;1047;507;2400;12
2001;2;27;58771;1005;539;2924;15
2001;2;28;58545;974;542;3098;15
2001;2;29;59723;872;508;3465;12
2001;2;30;60326;898;490;3534;16
2001;2;31;59057;860;440;3418;17
2001;2;32;58186;729;416;3081;17
2001;2;33;61440;713;395;2923;23
2001;2;34;64542;642;436;2622;22
2001;2;35;65416;636;362;2347;31
2001;2;36;65684;594;326;1974;35
2001;2;37;66170;571;310;1609;29
2001;2;38;61182;478;286;1085;28
2001;2;39;58771;458;281;841;28
2001;2;40;57195;401;199;571;49
2001;2;41;56758;394;218;419;41
2001;2;42;57062;343;196;233;43
2001;2;43;57053;309;156;154;58
2001;2;44;58341;278;163;74;61
2001;2;45;58052;262;172;36;77
2001;2;46;57908;249;132;13;59
2001;2;47;56703;233;126;8;90
2001;2;48;58054;200;116;5;120
2001;2;49;57901;181;107;4;117
2001;2;50;57499;177;109;0;132
2001;2;51;59696;175;109;0;151
2001;2;52;62335;154;95;0;159
2001;2;53;64630;140;98;0;193
2001;2;54;65053;135;93;0;187
2001;2;55;65661;144;85;0;218
2001;2;56;64760;144;103;0;232
2001;2;57;63440;137;77;0;265
2001;2;58;59668;109;62;0;278
2001;2;59;54254;103;58;0;281
2001;2;60;48493;99;64;0;259
2001;2;61;46017;113;60;0;279
2001;2;62;46550;76;50;0;273
2001;2;63;44849;80;52;0;285
2001;2;64;42629;80;50;0;281
2001;2;65;41668;66;66;0;343
2001;2;66;39554;67;48;0;361
2001;2;67;38984;58;61;0;402
2001;2;68;38054;39;35;0;436
2001;2;69;39575;45;29;0;480
2001;2;70;39319;38;32;0;518
2001;2;71;40012;36;33;0;646
2001;2;72;38388;28;31;0;664
2001;2;73;39426;28;25;0;717
2001;2;74;37931;34;41;0;763
2001;2;75;38106;23;18;0;925
2001;2;76;38280;23;19;0;931
2001;2;77;37764;20;24;0;1106
2001;2;78;36995;16;34;0;1274
2001;2;79;36152;11;27;0;1437
2001;2;80;37387;13;12;0;1635
2001;2;81;37212;4;14;0;1979
2001;2;82;28920;7;11;0;1592
2001;2;83;26981;13;14;0;1823
2001;2;84;25586;9;10;0;1977
2001;2;85;22981;9;10;0;1972
2001;2;86;20682;10;8;0;2181
2001;2;87;19004;1;5;0;2217
2001;2;88;16509;1;7;0;2265
2001;2;89;14554;2;7;0;2211
2001;2;90;11811;4;1;0;2072
2001;2;91;9652;5;3;0;1934
2001;2;92;7874;1;0;0;1885
2001;2;93;6037;1;1;0;1590
2001;2;94;4518;1;0;0;1355
2001;2;95;3348;0;0;0;1021
2001;2;96;2316;2;0;0;808
2001;2;97;1575;0;0;0;621
2001;2;98;1060;1;3;0;479
2001;2;99;659;0;0;0;302
2001;2;100;881;0;2;0;560
2002;1;0;49275;387;153;0;146
2002;1;1;47631;637;292;0;33
2002;1;2;47449;520;262;0;14
2002;1;3;46190;519;232;0;16
2002;1;4;47047;499;208;0;6
2002;1;5;47404;446;215;0;6
2002;1;6;49544;474;223;0;1
2002;1;7;53918;432;209;0;2
2002;1;8;58034;451;213;0;4
2002;1;9;60706;419;201;0;4
2002;1;10;64210;444;208;0;7
2002;1;11;65720;424;180;0;8
2002;1;12;66135;472;176;0;9
2002;1;13;62678;421;142;0;7
2002;1;14;61290;414;155;1;6
2002;1;15;57198;364;108;1;12
2002;1;16;56598;425;124;25;24
2002;1;17;55088;401;82;109;14
2002;1;18;52949;376;71;170;11
2002;1;19;51653;351;131;328;34
2002;1;20;52139;481;219;561;40
2002;1;21;52029;586;299;781;33
2002;1;22;53944;855;298;1110;36
2002;1;23;53130;962;331;1440;59
2002;1;24;51965;1072;358;1626;45
2002;1;25;53855;1076;461;2077;45
2002;1;26;55288;1097;445;2471;29
2002;1;27;58066;1044;506;3032;45
2002;1;28;61339;1046;536;3587;30
2002;1;29;60942;1008;524;3782;33
2002;1;30;62297;975;514;4110;37
2002;1;31;63041;935;541;3956;53
2002;1;32;60923;847;491;3565;50
2002;1;33;61052;790;416;3164;39
2002;1;34;63910;763;428;2967;38
2002;1;35;68152;744;452;2480;46
2002;1;36;69190;678;464;2193;62
2002;1;37;69502;685;435;1709;56
2002;1;38;69310;606;402;1331;72
2002;1;39;64788;550;395;903;61
2002;1;40;61649;518;375;682;80
2002;1;41;59764;501;331;440;80
2002;1;42;58642;427;304;271;100
2002;1;43;59590;371;250;139;79
2002;1;44;59320;377;239;90;106
2002;1;45;59636;336;250;51;112
2002;1;46;60604;345;215;19;108
2002;1;47;59214;297;214;10;141
2002;1;48;58086;281;198;3;141
2002;1;49;59681;257;191;3;149
2002;1;50;59092;213;151;0;155
2002;1;51;58416;228;186;0;209
2002;1;52;61149;190;183;0;232
2002;1;53;63023;186;146;0;257
2002;1;54;65019;201;159;0;282
2002;1;55;65725;208;151;0;337
2002;1;56;66601;181;154;0;341
2002;1;57;66155;167;139;0;393
2002;1;58;65087;170;128;0;432
2002;1;59;60415;138;98;0;498
2002;1;60;55381;139;107;0;469
2002;1;61;48519;144;89;0;447
2002;1;62;46006;113;93;0;409
2002;1;63;45689;110;69;0;515
2002;1;64;43267;91;60;0;530
2002;1;65;40773;97;83;0;541
2002;1;66;38877;76;78;0;571
2002;1;67;37005;70;61;0;646
2002;1;68;35010;62;54;0;647
2002;1;69;33827;59;50;0;729
2002;1;70;34321;54;54;0;828
2002;1;71;33438;44;39;0;847
2002;1;72;33027;55;29;0;929
2002;1;73;31233;40;30;0;1042
2002;1;74;31135;30;21;0;1139
2002;1;75;29419;27;21;0;1191
2002;1;76;28913;17;18;0;1285
2002;1;77;28302;20;14;0;1411
2002;1;78;26841;20;19;0;1547
2002;1;79;26193;12;7;0;1607
2002;1;80;23943;16;14;0;1809
2002;1;81;23665;13;11;0;1859
2002;1;82;22791;17;6;0;2113
2002;1;83;16966;5;6;0;1763
2002;1;84;14810;10;5;0;1663
2002;1;85;13046;5;5;0;1737
2002;1;86;11174;3;3;0;1673
2002;1;87;9116;7;1;0;1638
2002;1;88;7919;0;2;0;1537
2002;1;89;6375;3;5;0;1399
2002;1;90;4945;3;1;0;1230
2002;1;91;3928;2;1;0;1041
2002;1;92;2864;0;1;0;876
2002;1;93;2095;2;0;0;746
2002;1;94;1353;0;2;0;588
2002;1;95;986;2;2;0;408
2002;1;96;628;0;0;0;307
2002;1;97;357;0;0;0;212
2002;1;98;209;0;0;0;124
